question,answer,category
"When did Muhammad Ali Jinnah die?","Muhammad Ali Jinnah died on 11 September 1948 in Karachi. 🇵🇰📅","history"
"What was Muhammad Ali Jinnah's title?","Muhammad Ali Jinnah is commonly known as Quaid-e-Azam, meaning Great Leader. 🇵🇰👤","history"
"Who was Allama Muhammad Iqbal?","Allama Muhammad Iqbal was a prominent philosopher, poet, and thinker who played an important intellectual role in the Pakistan Movement. 📖🇵🇰","history"
"When was Allama Iqbal born?","Allama Muhammad Iqbal was born on 9 November 1877 in Sialkot. 📅🇵🇰","history"
"When is Iqbal Day celebrated in Pakistan?","Iqbal Day is observed on 9 November each year to commemorate the birth of Allama Muhammad Iqbal. 📖🇵🇰","history"
"When did Pakistan become independent?","Pakistan became independent on 14 August 1947. 🇵🇰🎉","history"
"Who was the first Governor-General of Pakistan?","Muhammad Ali Jinnah was the first Governor-General of Pakistan. 🇵🇰🏛️","history"
"Who was the first Prime Minister of Pakistan?","Liaquat Ali Khan was the first Prime Minister of Pakistan. 🇵🇰🏛️","history"
"When did Liaquat Ali Khan become Prime Minister?","Liaquat Ali Khan became the first Prime Minister of Pakistan in August 1947. 🇵🇰🏛️","history"
"When was the Pakistan Resolution adopted?","The Pakistan Resolution was adopted on 23 March 1940 at the Muslim League session in Lahore. 📜🇵🇰","history"
"What was the Pakistan Movement?","The Pakistan Movement was the political movement that sought a separate homeland for Muslims of British India and ultimately led to the creation of Pakistan in 1947. 🇵🇰📜","history"
"When was the All-India Muslim League founded?","The All-India Muslim League was founded on 30 December 1906 in Dhaka. 📜🇵🇰","history"
"Where was the All-India Muslim League founded?","The All-India Muslim League was founded in Dhaka in 1906. 📍🇵🇰","history"
"Who founded the All-India Muslim League?","The All-India Muslim League was established by Muslim political leaders in 1906, including Aga Khan III, Nawab Salimullah Khan, Nawab Viqar-ul-Mulk, and others. 📜🇵🇰","history"
"When did Pakistan become a republic?","Pakistan became a republic on 23 March 1956 when its first constitution came into effect. 🇵🇰📜","history"
"What was Pakistan's first constitution?","Pakistan's first constitution was the Constitution of 1956. 📜🇵🇰","history"
"When was the Constitution of 1973 adopted?","The Constitution of 1973 was adopted by the National Assembly on 10 April 1973 and came into force on 14 August 1973. 📜🇵🇰","history"
"Who is known as the Father of the Nation in Pakistan?","Muhammad Ali Jinnah is widely known as the Father of the Nation in Pakistan. 🇵🇰👤","history"
"Why is 14 August important in Pakistan?","14 August is Pakistan's Independence Day, commemorating the country's independence from British rule in 1947. 🇵🇰🎉","history"
"What is the national tree of Pakistan?","The Deodar cedar is the national tree of Pakistan. 🌲🇵🇰","national_symbols"
"What is the national fruit of Pakistan?","The Mango is recognized as the national fruit of Pakistan. 🥭🇵🇰","national_symbols"
"What is the national poet of Pakistan?","Allama Muhammad Iqbal is widely recognized as the national poet of Pakistan. 📖🇵🇰","national_symbols"
"What is the national dress of Pakistan?","The Shalwar Kameez is the national dress of Pakistan. 👕🇵🇰","culture"
"What is the national mosque of Pakistan?","Faisal Mosque in Islamabad is one of Pakistan's most famous national landmarks and one of its largest mosques. 🕌🇵🇰","culture"
"What is the national anthem of Pakistan called?","Pakistan's national anthem is called 'Qaumi Taranah'. 🇵🇰🎵","national_symbols"
"Who wrote the lyrics of Pakistan's national anthem?","Hafeez Jalandhari wrote the lyrics of Pakistan's national anthem. 🎵🇵🇰","national_symbols"
"Who composed the music for Pakistan's national anthem?","Ahmad G. Chagla composed the music for Pakistan's national anthem. 🎵🇵🇰","national_symbols"
"What languages are spoken in Pakistan?","Pakistan is linguistically diverse. Major languages include Punjabi, Sindhi, Pashto, Urdu, Balochi, Saraiki, and English. 🗣️🇵🇰","culture"
"What is the most widely spoken mother tongue in Pakistan?","Punjabi is the most widely spoken mother tongue in Pakistan. 🗣️🇵🇰","culture"
"What is Pakistan's national language?","Urdu is the national language of Pakistan. 🗣️🇵🇰","culture"
"What are the official working languages commonly used by the government of Pakistan?","Urdu and English are widely used in government and official communication in Pakistan. 🏛️🇵🇰","culture"
"What is Eid celebrated for in Pakistan?","Eid festivals are important Islamic celebrations observed by Muslims in Pakistan with prayers, family gatherings, and sharing food and gifts. 🌙🇵🇰","culture"
"What is Basant?","Basant is a traditional spring festival historically associated with kite flying, particularly in Punjab. 🪁🇵🇰","culture"
"What is truck art in Pakistan?","Truck art is a colorful Pakistani decorative art tradition in which trucks and other vehicles are decorated with elaborate paintings, patterns, and designs. 🎨🇵🇰","culture"
"What is the national flag of Pakistan?","Pakistan's national flag is green and white, featuring a white crescent and five-pointed star. 🇵🇰🚩","national_symbols"
"What does the white portion of Pakistan's flag represent?","The white portion of Pakistan's flag represents religious minorities in the country. 🇵🇰","national_symbols"
"What does the crescent on Pakistan's flag represent?","The crescent on Pakistan's flag symbolizes progress. 🌙🇵🇰","national_symbols"
"What does the star on Pakistan's flag represent?","The five-pointed star on Pakistan's flag symbolizes light and knowledge. ⭐🇵🇰","national_symbols"
"When was Pakistan's national flag officially adopted?","Pakistan's national flag was officially adopted on 11 August 1947. 🇵🇰🚩","national_symbols"
"What is the Constitution of Pakistan?","The Constitution of Pakistan is the supreme law of the country and establishes the structure, powers, and responsibilities of the state and government. 📜🇵🇰","government"
"When was the Constitution of Pakistan adopted?","The Constitution of Pakistan was passed by the National Assembly on 10 April 1973 and came into force on 14 August 1973. 📜🇵🇰","government"
"What is the Parliament of Pakistan called?","The Parliament of Pakistan is called the Majlis-e-Shoora and consists of the President and two houses: the National Assembly and the Senate. 🏛️🇵🇰","government"
"What are the two houses of the Parliament of Pakistan?","The two houses of Pakistan's Parliament are the National Assembly and the Senate. 🏛️🇵🇰","government"
"What is the National Assembly of Pakistan?","The National Assembly is the lower house of Pakistan's Parliament and represents the people through elected members. 🏛️🇵🇰","government"
"What is the Senate of Pakistan?","The Senate is the upper house of Pakistan's Parliament and provides equal representation to the provinces. 🏛️🇵🇰","government"
"What is the role of the Prime Minister of Pakistan?","The Prime Minister is the head of government and leads the federal government of Pakistan. 🏛️🇵🇰","government"
"What is the role of the President of Pakistan?","The President is the head of state of Pakistan and performs constitutional duties as defined by the Constitution. 🇵🇰🏛️","government"
"What is the Supreme Court of Pakistan?","The Supreme Court of Pakistan is the highest court in the country's judicial system. ⚖️🇵🇰","government"
"Where is the Supreme Court of Pakistan located?","The Supreme Court of Pakistan is located in Islamabad. ⚖️🇵🇰","government"
"How many provinces does Pakistan have?","Pakistan has four provinces: Punjab, Sindh, Khyber Pakhtunkhwa, and Balochistan. 🇵🇰🗺️","government"
"What are the federal territories of Pakistan?","Pakistan includes the Islamabad Capital Territory, while Azad Jammu and Kashmir and Gilgit-Baltistan have their own distinct administrative arrangements. 🇵🇰🗺️","government"
"What is the electoral system of Pakistan?","Pakistan holds elections for national and provincial representative bodies under the constitutional and electoral framework administered by the Election Commission of Pakistan. 🗳️🇵🇰","government"
"What is the Election Commission of Pakistan?","The Election Commission of Pakistan is the constitutional body responsible for organizing and conducting elections in the country. 🗳️🇵🇰","government"
"What is the official name of Pakistan?","The official name of Pakistan is the Islamic Republic of Pakistan. 🇵🇰","government"
"What is the national sport of Pakistan?","Field hockey is traditionally recognized as Pakistan's national sport. 🏑🇵🇰","sports"
"Which sport is Pakistan famous for internationally?","Pakistan is internationally famous for cricket and field hockey. 🏏🏑🇵🇰","sports"
"When did Pakistan win the Cricket World Cup?","Pakistan won the ICC Cricket World Cup in 1992 under the captaincy of Imran Khan. 🏏🏆🇵🇰","sports"
"When did Pakistan win the Champions Trophy?","Pakistan won the ICC Champions Trophy in 2017 by defeating India in the final. 🏏🏆🇵🇰","sports"
"How many times has Pakistan won the Hockey World Cup?","Pakistan has won the Men's Hockey World Cup four times. 🏑🏆🇵🇰","sports"
"What is the currency code of Pakistan?","The currency code of the Pakistani Rupee is PKR. 💰🇵🇰","economy"
"What is the central bank of Pakistan?","The State Bank of Pakistan is the country's central bank. 🏦🇵🇰","economy"
"What is the largest city in Pakistan by population?","Karachi is Pakistan's largest city by population. 🏙️🇵🇰","cities"
"What is Lahore famous for?","Lahore is famous for its history, Mughal architecture, cultural heritage, food, and landmarks such as the Lahore Fort and Badshahi Mosque. 🕌🇵🇰","cities"
"What is Karachi famous for?","Karachi is Pakistan's largest city and a major center of commerce, finance, industry, and the country's seaport activity. 🌆🇵🇰","cities"
"What is the Badshahi Mosque?","The Badshahi Mosque is a historic Mughal-era mosque located in Lahore, Pakistan. 🕌🇵🇰","landmarks"
"What is the Lahore Fort?","The Lahore Fort is a historic Mughal-era fortress located in Lahore and is a UNESCO World Heritage Site. 🏰🇵🇰","landmarks"
"What is Minar-e-Pakistan?","Minar-e-Pakistan is a national monument in Lahore built at the site associated with the Lahore Resolution of 1940. 🇵🇰🗼","landmarks"
"What is Faisal Mosque?","Faisal Mosque is a famous mosque in Islamabad, Pakistan, known for its distinctive modern architecture and its location at the foot of the Margalla Hills. 🕌🇵🇰","landmarks"
"Where is Faisal Mosque located?","Faisal Mosque is located in Islamabad, Pakistan. 🕌🇵🇰","landmarks"
"What is Pakistan Monument?","Pakistan Monument is a national monument in Islamabad representing the unity of Pakistan's provinces and territories. 🇵🇰🏛️","landmarks"
"Where is Pakistan Monument located?","Pakistan Monument is located in Islamabad on the Shakarparian Hills. 🇵🇰🏛️","landmarks"
"What is Lok Virsa Museum?","Lok Virsa Museum is a museum in Islamabad that preserves and showcases Pakistan's cultural heritage and traditions. 🏛️🇵🇰","landmarks"
"What is Mohenjo-daro?","Mohenjo-daro is an ancient archaeological site in Sindh and one of the major cities of the Indus Valley Civilization. 🏺🇵🇰","landmarks"
"Where is Mohenjo-daro located?","Mohenjo-daro is located near Larkana in Sindh, Pakistan. 🏺🇵🇰","landmarks"
"What is Taxila?","Taxila is an ancient archaeological site near Islamabad and Rawalpindi, known for its historical importance in the ancient Gandhara region. 🏺🇵🇰","landmarks"
"Where is Taxila located?","Taxila is located in Punjab, Pakistan, near Islamabad and Rawalpindi. 🏺🇵🇰","landmarks"
"What is Rohtas Fort?","Rohtas Fort is a historic fortress near Jhelum in Punjab, Pakistan, built during the 16th century. 🏰🇵🇰","landmarks"
"What is Derawar Fort?","Derawar Fort is a large historic fortress in the Cholistan Desert of Punjab, Pakistan. 🏰🇵🇰","landmarks"
"What is Makli Necropolis?","Makli Necropolis is one of the largest historical cemetery sites in the world and is located near Thatta in Sindh, Pakistan. 🏺🇵🇰","landmarks"
"What is the Badshahi Mosque?","The Badshahi Mosque is a historic Mughal-era mosque located in Lahore, Pakistan. 🕌🇵🇰","landmarks"
"What is the Lahore Fort?","The Lahore Fort is a historic Mughal-era fortress located in Lahore, Pakistan, and is a UNESCO World Heritage Site. 🏰🇵🇰","landmarks"
"What is Minar-e-Pakistan?","Minar-e-Pakistan is a national monument in Lahore associated with the Lahore Resolution of 1940. 🇵🇰🗼","landmarks"
"What countries share a land border with Pakistan?","Pakistan shares land borders with India, Afghanistan, Iran, and China. 🇵🇰🌍","international_relations"
"What is Pakistan's relationship with China?","Pakistan and China have a long-standing strategic and economic partnership, including cooperation through the China-Pakistan Economic Corridor (CPEC). 🇵🇰🇨🇳","international_relations"
"What is CPEC?","The China-Pakistan Economic Corridor (CPEC) is a major economic and infrastructure cooperation project between Pakistan and China. 🇵🇰🇨🇳","international_relations"
"Which country is Pakistan's western neighbor?","Afghanistan is one of Pakistan's western neighbors. 🇵🇰🇦🇫","international_relations"
"Which country is Pakistan's southwestern neighbor?","Iran is Pakistan's southwestern neighbor. 🇵🇰🇮🇷","international_relations"
"Which country is Pakistan's eastern neighbor?","India is Pakistan's eastern neighbor. 🇵🇰🇮🇳","international_relations"
"Which country is Pakistan's northeastern neighbor?","China is Pakistan's northeastern neighbor. 🇵🇰🇨🇳","international_relations"
"What is the relationship between Pakistan and Afghanistan?","Pakistan and Afghanistan share historical, cultural, economic, and geographic ties, as well as a long border. 🇵🇰🇦🇫","international_relations"
"What is the relationship between Pakistan and Iran?","Pakistan and Iran share a border and maintain cultural, economic, and diplomatic relations. 🇵🇰🇮🇷","international_relations"
"What is the relationship between Pakistan and India?","Pakistan and India are neighboring countries with extensive historical and cultural connections, but their relationship has also been marked by significant political and territorial disputes. 🇵🇰🇮🇳","international_relations"
"What is the Kashmir dispute?","The Kashmir dispute is a long-running territorial and political dispute involving India and Pakistan over the Kashmir region. 🇵🇰🇮🇳","international_relations"
"When did Pakistan join the United Nations?","Pakistan became a member of the United Nations on 30 September 1947. 🇵🇰🌍","international_relations"
"What is Pakistan's role in the United Nations?","Pakistan participates in the United Nations and contributes to international discussions and UN peacekeeping operations. 🇵🇰🇺🇳","international_relations"
"What is SAARC?","SAARC is the South Asian Association for Regional Cooperation, a regional organization whose members include Pakistan and several other South Asian countries. 🌏🇵🇰","international_relations"
"Is Pakistan a member of the Organization of Islamic Cooperation?","Yes. Pakistan is a member of the Organization of Islamic Cooperation (OIC). 🇵🇰🌍","international_relations"
"What is Pakistan's relationship with Saudi Arabia?","Pakistan and Saudi Arabia maintain longstanding diplomatic, economic, and cultural relations. 🇵🇰🇸🇦","international_relations"
"What is Pakistan's relationship with Turkey?","Pakistan and Türkiye maintain close diplomatic, cultural, economic, and defense ties. 🇵🇰🇹🇷","international_relations"
"What is Pakistan's relationship with the United States?","Pakistan and the United States have maintained diplomatic relations since 1947 and have cooperated on security, economic, and other matters. 🇵🇰🇺🇸","international_relations"
