topic,definition,formula,variables,answer_unit
"free fall","Free fall is motion in which gravity is the only significant force acting on an object.","v = u + gt","v,u,g,t","m/s"
"gravitational acceleration","Acceleration due to gravity near Earth's surface is approximately 9.8 metres per second squared.","g ≈ 9.8 m/s²","g","m/s²"
"force","Force is a push or pull that can change the motion or shape of an object.","F = ma","F,m,a","N"
"newton first law","Newton's first law states that an object remains at rest or in uniform straight-line motion unless acted upon by a net external force.","—","—","—"
"newton second law","Newton's second law states that the net force on an object equals its mass multiplied by its acceleration.","F = ma","F,m,a","N"
"newton third law","Newton's third law states that for every action there is an equal and opposite reaction.","—","—","—"
"inertia","Inertia is the tendency of an object to resist a change in its state of motion.","—","—","—"
"weight","Weight is the gravitational force acting on an object.","W = mg","W,m,g","N"
"normal force","Normal force is the contact force exerted perpendicular to a surface.","—","—","N"
"friction","Friction is a force that opposes relative motion or attempted motion between two surfaces.","f = μN","f,μ,N","N"
"coefficient of friction","The coefficient of friction is the ratio of frictional force to normal force.","μ = f/N","μ,f,N","dimensionless"
"tension","Tension is the pulling force transmitted through a stretched string, rope or cable.","—","—","N"
"momentum","Momentum is the product of an object's mass and velocity.","p = mv","p,m,v","kg·m/s"
"impulse","Impulse is the change in momentum produced by a force acting over a time interval.","J = FΔt = Δp","J,F,Δt,Δp","N·s"
"conservation of momentum","The law of conservation of momentum states that total momentum remains constant in an isolated system when no net external force acts.","p_initial = p_final","p","kg·m/s"
"work","Work is done when a force causes displacement in the direction of the force.","W = Fd cosθ","W,F,d,θ","J"
"kinetic energy","Kinetic energy is the energy possessed by an object because of its motion.","KE = 1/2 mv²","KE,m,v","J"
"potential energy","Gravitational potential energy is the energy possessed by an object because of its height above a reference level.","PE = mgh","PE,m,g,h","J"
"mechanical energy","Mechanical energy is the sum of kinetic energy and potential energy.","E = KE + PE","E,KE,PE","J"
"conservation of energy","The law of conservation of energy states that energy cannot be created or destroyed but can be transferred or transformed.","E_initial = E_final","E","J"
"power","Power is the rate at which work is done or energy is transferred.","P = W/t","P,W,t","W"
"efficiency","Efficiency is the ratio of useful output energy or power to input energy or power, usually expressed as a percentage.","efficiency = (useful output/input) × 100","output,input","%"
"circular motion","Circular motion is the motion of an object along a circular path.","—","—","—"
"angular displacement","Angular displacement is the angle through which an object rotates about an axis.","θ = s/r","θ,s,r","rad"
"angular velocity","Angular velocity is the rate of change of angular displacement with time.","ω = Δθ/Δt","ω,Δθ,Δt","rad/s"
"angular acceleration","Angular acceleration is the rate of change of angular velocity with time.","α = Δω/Δt","α,Δω,Δt","rad/s²"
"centripetal acceleration","Centripetal acceleration is the acceleration directed toward the centre of a circular path.","a_c = v²/r = ω²r","a_c,v,r,ω","m/s²"
"centripetal force","Centripetal force is the net inward force required to keep an object moving in a circular path.","F_c = mv²/r","F_c,m,v,r","N"
"torque","Torque is the turning effect of a force about an axis or pivot.","τ = rF sinθ","τ,r,F,θ","N·m"
"rotational equilibrium","An object is in rotational equilibrium when the net torque acting on it is zero.","Στ = 0","τ","N·m"
"universal gravitation","Newton's law of universal gravitation states that every two masses attract each other with a force proportional to their masses and inversely proportional to the square of their separation.","F = Gm₁m₂/r²","F,G,m₁,m₂,r","N"
"gravitational constant","The gravitational constant is the proportionality constant used in Newton's law of universal gravitation.","G ≈ 6.674 × 10⁻¹¹","G","N·m²/kg²"
"gravitational field","A gravitational field is the region around a mass in which another mass experiences gravitational force.","g = F/m","g,F,m","N/kg"
"density","Density is the mass contained per unit volume of a substance.","ρ = m/V","ρ,m,V","kg/m³"
"pressure","Pressure is the normal force acting per unit area.","P = F/A","P,F,A","Pa"
"liquid pressure","Pressure at a depth in a liquid depends on the liquid density, gravitational acceleration and depth.","P = ρgh","P,ρ,g,h","Pa"
"pascal law","Pascal's law states that pressure applied to an enclosed fluid is transmitted equally in all directions.","—","—","Pa"
"buoyant force","Buoyant force is the upward force exerted by a fluid on an immersed object.","F_b = ρVg","F_b,ρ,V,g","N"
"archimedes principle","Archimedes' principle states that an immersed object experiences an upward buoyant force equal to the weight of the fluid displaced.","F_b = ρVg","F_b,ρ,V,g","N"
"continuity equation","For steady incompressible fluid flow, the product of cross-sectional area and fluid speed remains constant.","A₁v₁ = A₂v₂","A₁,A₂,v₁,v₂","—"
"bernoulli principle","Bernoulli's principle states that for steady ideal fluid flow, pressure, kinetic energy per unit volume and gravitational potential energy per unit volume are related by a constant total.","P + 1/2ρv² + ρgh = constant","P,ρ,v,g,h","Pa"
"simple harmonic motion","Simple harmonic motion is oscillatory motion in which acceleration is proportional to displacement and directed toward the equilibrium position.","a = -ω²x","a,ω,x","m/s²"
"amplitude","Amplitude is the maximum displacement of an oscillating object from its equilibrium position.","—","—","m"
"time period","Time period is the time required for one complete cycle of a periodic motion.","T = 1/f","T,f","s"
"frequency","Frequency is the number of complete cycles or oscillations per second.","f = 1/T","f,T","Hz"
"angular frequency","Angular frequency is the rate of change of phase of periodic motion.","ω = 2πf","ω,f","rad/s"
"hookes law","Hooke's law states that within the elastic limit, extension is directly proportional to applied force.","F = kx","F,k,x","N"
"spring constant","Spring constant measures the stiffness of a spring.","k = F/x","k,F,x","N/m"
"elastic potential energy","Elastic potential energy is the energy stored in a stretched or compressed elastic object.","E = 1/2 kx²","E,k,x","J"
"wave","A wave is a disturbance that transfers energy from one place to another without net transfer of matter.","—","—","—"
"wavelength","Wavelength is the distance between two corresponding points on consecutive waves.","λ = v/f","λ,v,f","m"
"wave speed","Wave speed is the speed at which a wave disturbance travels through a medium.","v = fλ","v,f,λ","m/s"
"transverse wave","In a transverse wave, particles of the medium oscillate perpendicular to the direction of wave propagation.","—","—","—"
"longitudinal wave","In a longitudinal wave, particles of the medium oscillate parallel to the direction of wave propagation.","—","—","—"
"wave amplitude","Wave amplitude is the maximum displacement of a particle from its equilibrium position.","—","—","m"
"wave period","Wave period is the time required for one complete wave cycle.","T = 1/f","T,f","s"
"superposition","The principle of superposition states that when waves overlap, the resultant displacement is the sum of their individual displacements.","y = y₁ + y₂","y,y₁,y₂","m"
"interference","Interference is the phenomenon in which overlapping waves combine to produce reinforcement or cancellation.","—","—","—"
"constructive interference","Constructive interference occurs when waves combine to produce a larger resultant amplitude.","—","—","—"
"destructive interference","Destructive interference occurs when waves combine to reduce or cancel the resultant amplitude.","—","—","—"
"diffraction","Diffraction is the bending or spreading of waves around obstacles or through narrow openings.","—","—","—"
"resonance","Resonance occurs when a system is driven at or near its natural frequency and produces a large amplitude.","—","—","—"
"sound","Sound is a mechanical wave that requires a material medium for propagation.","v = fλ","v,f,λ","m/s"
"sound intensity","Sound intensity is the power transmitted by a sound wave per unit area perpendicular to the direction of propagation.","I = P/A","I,P,A","W/m²"
"doppler effect","The Doppler effect is the apparent change in observed frequency caused by relative motion between a source and an observer.","f' = f(v ± v_o)/(v ∓ v_s)","f',f,v,v_o,v_s","Hz"
"reflection of light","Reflection is the bouncing back of light into the original medium after it strikes a surface.","θ_i = θ_r","θ_i,θ_r","rad"
"refraction","Refraction is the change in direction of light when it passes from one medium into another.","n₁sinθ₁ = n₂sinθ₂","n₁,n₂,θ₁,θ₂","—"
"refractive index","Refractive index indicates how much the speed of light is reduced in a medium compared with vacuum.","n = c/v","n,c,v","dimensionless"
"snells law","Snell's law relates the angles of incidence and refraction when light passes between two media.","n₁sinθ₁ = n₂sinθ₂","n₁,n₂,θ₁,θ₂","—"
"critical angle","Critical angle is the angle of incidence in the denser medium for which the angle of refraction is 90 degrees.","sin c = n₂/n₁","c,n₁,n₂","rad"
"total internal reflection","Total internal reflection occurs when light travels from a denser medium to a less dense medium and the angle of incidence is greater than the critical angle.","—","—","—"
"mirror formula","The mirror formula relates focal length, object distance and image distance for a spherical mirror.","1/f = 1/v + 1/u","f,u,v","m"
"magnification","Magnification is the ratio of image height to object height.","m = h_i/h_o = -v/u","m,h_i,h_o,v,u","dimensionless"
"lens formula","The lens formula relates focal length, object distance and image distance for a thin lens.","1/f = 1/v - 1/u","f,u,v","m"
"power of lens","The power of a lens measures its ability to converge or diverge light.","P = 1/f","P,f","D"
"electromagnetic wave","An electromagnetic wave consists of oscillating electric and magnetic fields and can travel through vacuum.","c = fλ","c,f,λ","m/s"
"heat","Heat is energy transferred between objects because of a temperature difference.","Q = mcΔT","Q,m,c,ΔT","J"
"temperature","Temperature measures the thermal state or average kinetic energy of particles in a substance.","—","—","K"
"specific heat capacity","Specific heat capacity is the heat required to raise the temperature of one kilogram of a substance by one kelvin.","Q = mcΔT","Q,m,c,ΔT","J/(kg·K)"
"latent heat","Latent heat is energy transferred during a change of state without a change in temperature.","Q = mL","Q,m,L","J/kg"
"thermal expansion","Thermal expansion is the increase or change in dimensions of a substance due to an increase in temperature.","ΔL = αL₀ΔT","ΔL,α,L₀,ΔT","m"
"ideal gas law","The ideal gas law relates pressure, volume, amount of gas and absolute temperature.","PV = nRT","P,V,n,R,T","Pa·m³"
"boyles law","Boyle's law states that for a fixed amount of gas at constant temperature, pressure is inversely proportional to volume.","P₁V₁ = P₂V₂","P₁,P₂,V₁,V₂","—"
"charles law","Charles's law states that for a fixed amount of gas at constant pressure, volume is directly proportional to absolute temperature.","V₁/T₁ = V₂/T₂","V₁,V₂,T₁,T₂","—"
"first law of thermodynamics","The first law of thermodynamics states that the change in internal energy equals heat supplied to the system minus work done by the system.","ΔU = Q - W","ΔU,Q,W","J"
"electric charge","Electric charge is a physical property of matter responsible for electrical interactions.","Q = It","Q,I,t","C"
"coulombs law","Coulomb's law states that the electrostatic force between two point charges is proportional to the product of their charges and inversely proportional to the square of their separation.","F = kq₁q₂/r²","F,k,q₁,q₂,r","N"
"electric field","Electric field is the force experienced per unit positive test charge.","E = F/q","E,F,q","N/C"
"electric potential","Electric potential is electric potential energy per unit charge.","V = W/Q","V,W,Q","V"
"potential difference","Potential difference is the work done per unit charge in moving a charge between two points.","V = W/Q","V,W,Q","V"
"ohms law","Ohm's law states that current through a conductor is directly proportional to potential difference when physical conditions remain constant.","V = IR","V,I,R","V"
"resistance","Electrical resistance is the opposition offered to the flow of electric current.","R = V/I","R,V,I","Ω"
"resistivity","Resistivity is a property of a material that describes its resistance to electric current.","R = ρL/A","R,ρ,L,A","Ω·m"
"series resistance","For resistors connected in series, the total resistance is the sum of the individual resistances.","R_total = R₁ + R₂ + ...","R_total,R₁,R₂","Ω"
"parallel resistance","For resistors connected in parallel, the reciprocal of total resistance equals the sum of the reciprocals of individual resistances.","1/R_total = 1/R₁ + 1/R₂ + ...","R_total,R₁,R₂","Ω"
"electric power","Electric power is the rate at which electrical energy is transferred or used.","P = VI = I²R = V²/R","P,V,I,R","W"
"electric energy","Electrical energy is the energy transferred by an electric circuit.","E = Pt = VIt","E,P,t,V,I","J"
"kirchhoffs current law","Kirchhoff's current law states that the total current entering a junction equals the total current leaving it.","ΣI_in = ΣI_out","I","A"
"kirchhoffs voltage law","Kirchhoff's voltage law states that the algebraic sum of potential changes around a closed circuit is zero.","ΣV = 0","V","V"
"magnetic field","A magnetic field is a region in which a magnet, magnetic material or moving charge experiences a magnetic force.","—","—","T"
"magnetic flux","Magnetic flux measures the magnetic field passing through a surface.","Φ = BA cosθ","Φ,B,A,θ","Wb"
"force on current carrying wire","A current-carrying conductor placed in a magnetic field experiences a force.","F = BIL sinθ","F,B,I,L,θ","N"
"lorentz force","Lorentz force is the force experienced by a charged particle in electric and magnetic fields.","F = q(E + v × B)","F,q,E,v,B","N"
"electromagnetic induction","Electromagnetic induction is the production of an electromotive force due to a change in magnetic flux.","ε = -dΦ/dt","ε,Φ,t","V"
"faradays law","Faraday's law states that the induced electromotive force is proportional to the rate of change of magnetic flux linkage.","ε = -N dΦ/dt","ε,N,Φ,t","V"
"lenzs law","Lenz's law states that the induced current flows in a direction that opposes the change in magnetic flux that produces it.","—","—","—"
"transformer","A transformer transfers electrical energy between coils through electromagnetic induction and can increase or decrease AC voltage.","V_s/V_p = N_s/N_p","V_s,V_p,N_s,N_p","V"
"atom","An atom is the smallest unit of an element that retains the chemical properties of that element.","—","—","—"
"electron","An electron is a negatively charged subatomic particle.","—","—","C"
"proton","A proton is a positively charged subatomic particle found in the nucleus of an atom.","—","—","C"
"neutron","A neutron is a neutral subatomic particle found in the nucleus of an atom.","—","—","—"
"photon","A photon is a quantum or packet of electromagnetic radiation.","E = hf","E,h,f","J"
"plancks constant","Planck's constant is a fundamental constant relating the energy of a photon to its frequency.","h ≈ 6.626 × 10⁻³⁴ J·s","h","J·s"
"photoelectric effect","The photoelectric effect is the emission of electrons from a material when electromagnetic radiation of sufficient frequency falls on its surface.","K_max = hf - φ","K_max,h,f,φ","J"
"work function","Work function is the minimum energy required to remove an electron from the surface of a material.","φ = hf₀","φ,h,f₀","J"
"radioactivity","Radioactivity is the spontaneous decay of unstable atomic nuclei with the emission of radiation.","N = N₀e^(-λt)","N,N₀,λ,t","—"
"half life","Half-life is the time required for half of the radioactive nuclei in a sample to decay.","T₁/₂ = ln(2)/λ","T₁/₂,λ","s"
"nuclear fission","Nuclear fission is the splitting of a heavy atomic nucleus into smaller nuclei with the release of energy.","—","—","J"
"nuclear fusion","Nuclear fusion is the combination of light atomic nuclei to form a heavier nucleus with the release of energy.","—","—","J"
"mass energy equivalence","Mass-energy equivalence states that mass can be converted into energy according to Einstein's equation.","E = mc²","E,m,c","J"
"special relativity","Special relativity describes the relationship between space and time for observers moving at constant velocity and states that the speed of light in vacuum is invariant.","E = mc²","E,m,c","J"
"dimensional analysis","Dimensional analysis uses fundamental dimensions to check physical equations and relationships.","—","—","—"
"accuracy","Accuracy describes how close a measured value is to the true or accepted value.","—","—","—"
"precision","Precision describes how close repeated measurements are to one another.","—","—","—"
"uncertainty","Measurement uncertainty represents the range within which the true value is expected to lie.","—","—","same unit as measured quantity"
