question,answer
"What is a conditional statement?","A conditional statement allows a program to execute different code depending on whether a condition is true or false."
"What is an if statement?","An if statement executes a block of code when a specified condition is true."
"What is an if-else statement?","An if-else statement chooses between two blocks of code depending on whether a condition is true or false."
"What is a nested if statement?","A nested if statement is an if statement placed inside another conditional statement."
"What is a loop?","A loop is a programming structure that repeatedly executes a block of code while a specified condition or iteration rule applies."
"What are loops?","Loops are programming structures used to repeat a block of code."
"What is a for loop?","A for loop is a loop commonly used when the programmer knows or can define the iteration sequence or range."
"What is a while loop?","A while loop repeatedly executes a block of code as long as its condition remains true."
"What is a do-while loop?","A do-while loop executes its body at least once and then repeats it while its condition is true."
"What is an infinite loop?","An infinite loop is a loop that continues indefinitely because its terminating condition is never satisfied."
"What is a break statement?","A break statement immediately terminates the nearest loop or switch structure."
"What is a continue statement?","A continue statement skips the remaining statements of the current loop iteration and moves to the next iteration."
"What is a function?","A function is a reusable block of code designed to perform a specific task."
"What are functions?","Functions are reusable blocks of code designed to perform specific tasks."
"What is a function in programming?","A function in programming is a reusable block of code that performs a specific task and can be called when needed."
"Why are functions used?","Functions are used to organize code, reduce repetition, improve readability, and make programs easier to maintain."
"What is a function parameter?","A parameter is a variable in a function definition that receives a value when the function is called."
"What is an argument in programming?","An argument is a value or expression passed to a function when the function is called."
"What is a return value?","A return value is the result that a function sends back to the part of the program that called it."
"What is recursion?","Recursion is a programming technique in which a function calls itself to solve a problem by breaking it into smaller instances."
"What is a base case in recursion?","A base case is the condition that stops a recursive function from calling itself further."
"What is an array?","An array is a data structure that stores multiple elements of the same type in an indexed sequence."
"What are arrays?","Arrays are data structures used to store multiple elements in an ordered, indexed sequence."
"What is an index in an array?","An array index is a position used to access a particular element in an array."
"What is a multidimensional array?","A multidimensional array is an array whose elements are themselves arranged in multiple dimensions, such as rows and columns."
"What is a list?","A list is an ordered collection of elements that can be accessed and processed as a group."
"What is a linked list?","A linked list is a linear data structure made of nodes where each node stores data and a link to another node."
"What are linked lists?","Linked lists are linear data structures made of nodes connected through links or references."
"What is a node?","A node is an element of a data structure that stores data and may also contain one or more links to other nodes."
"What is a singly linked list?","A singly linked list is a linked list in which each node points to the next node."
"What is a doubly linked list?","A doubly linked list is a linked list in which each node contains links to both the next and previous nodes."
"What is a stack?","A stack is a linear data structure that follows the Last In, First Out principle."
"What are stacks?","Stacks are linear data structures that follow the Last In, First Out principle."
"What is LIFO?","LIFO means Last In, First Out, where the most recently added element is removed first."
"What is push in a stack?","Push is the operation of adding an element to the top of a stack."
"What is pop in a stack?","Pop is the operation of removing the top element from a stack."
"What is a queue?","A queue is a linear data structure that follows the First In, First Out principle."
"What are queues?","Queues are linear data structures that follow the First In, First Out principle."
"What is FIFO?","FIFO means First In, First Out, where the earliest added element is removed first."
"What is enqueue?","Enqueue is the operation of adding an element to the rear of a queue."
"What is dequeue?","Dequeue is the operation of removing an element from the front of a queue."
"What is a circular queue?","A circular queue is a queue in which the last position is logically connected back to the first position."
"What is a priority queue?","A priority queue is a data structure in which elements are removed according to their priority rather than only their arrival order."
"What is a tree?","A tree is a hierarchical data structure made of nodes connected by edges, with a root node and zero or more child nodes."
"What are trees in programming?","Trees are hierarchical data structures consisting of nodes connected by edges."
"What is a root node?","The root node is the topmost node in a tree and has no parent."
"What is a leaf node?","A leaf node is a tree node that has no children."
"What is a binary tree?","A binary tree is a tree in which each node has at most two children."
"What is a binary search tree?","A binary search tree is a binary tree organized so that values smaller than a node are placed in its left subtree and larger values are placed in its right subtree, subject to the chosen duplicate convention."
"What is BST?","BST stands for Binary Search Tree, a binary tree organized to support ordered searching and related operations."
"What is tree traversal?","Tree traversal is the process of visiting the nodes of a tree according to a specific order."
"What is inorder traversal?","Inorder traversal visits the left subtree, the node, and then the right subtree."
"What is preorder traversal?","Preorder traversal visits the node first, then the left subtree, and then the right subtree."
"What is postorder traversal?","Postorder traversal visits the left subtree, then the right subtree, and finally the node."
"What is a graph?","A graph is a data structure consisting of vertices and edges used to represent relationships or connections."
"What are graphs in programming?","Graphs are data structures made of vertices and edges that represent relationships between objects."
"What is a vertex?","A vertex is a node or point in a graph."
"What is an edge?","An edge is a connection between two vertices in a graph."
"What is a directed graph?","A directed graph is a graph in which edges have a specific direction."
"What is an undirected graph?","An undirected graph is a graph in which edges do not have a direction."
"What is graph traversal?","Graph traversal is the process of systematically visiting vertices and edges of a graph."
"What is BFS?","BFS, or Breadth-First Search, explores a graph level by level, typically using a queue."
"What is DFS?","DFS, or Depth-First Search, explores a graph by going as deep as possible before backtracking, typically using recursion or a stack."
"What is searching?","Searching is the process of locating a particular element or value in a data structure or collection."
"What is linear search?","Linear search checks elements one by one until the target is found or the collection ends."
"What is binary search?","Binary search repeatedly divides a sorted search range into halves to locate a target efficiently."
"What is sorting?","Sorting is the process of arranging data in a specified order, such as ascending or descending order."
"What is bubble sort?","Bubble sort repeatedly compares adjacent elements and swaps them when they are in the wrong order."
"What is selection sort?","Selection sort repeatedly selects the smallest or largest remaining element and places it in its correct position."
"What is insertion sort?","Insertion sort builds a sorted portion of a collection by inserting each new element into its appropriate position."
"What is merge sort?","Merge sort divides a collection into smaller parts, sorts them, and merges the sorted parts."
"What is quick sort?","Quick sort selects a pivot, partitions the data around the pivot, and recursively sorts the resulting partitions."
"What is time complexity?","Time complexity describes how the running time of an algorithm grows as the input size increases."
"What is space complexity?","Space complexity describes how the memory requirements of an algorithm grow as the input size increases."
"What is Big O notation?","Big O notation describes an upper-bound growth rate of an algorithm's resource usage as input size increases."
"What is O(1) complexity?","O(1) complexity means the algorithm's resource usage remains constant with respect to the input size."
"What is O(n) complexity?","O(n) complexity means the resource usage grows linearly with the input size."
"What is O(log n) complexity?","O(log n) complexity means the resource usage grows logarithmically as the input size increases."
"What is O(n²) complexity?","O(n²) complexity means the resource usage grows approximately with the square of the input size."
"What is object-oriented programming?","Object-oriented programming is a programming paradigm that organizes software around objects containing data and behavior."
"What is OOP?","OOP stands for Object-Oriented Programming, a paradigm based on objects, classes, and their interactions."
"What is a class?","A class is a blueprint or template that defines the data and behavior associated with objects."
"What is an object?","An object is an instance of a class that contains data and can perform behaviors defined by its class."
"What is encapsulation?","Encapsulation is the practice of bundling data and related methods together while controlling access to the internal state."
"What is inheritance?","Inheritance is an OOP mechanism in which a class derives properties and behaviors from another class."
"What is polymorphism?","Polymorphism is the ability to use a common interface while allowing different objects or classes to provide different implementations."
"What is abstraction?","Abstraction is the process of exposing essential features while hiding unnecessary implementation details."
"What is a constructor?","A constructor is a special method or function used to initialize an object when it is created."
"What is a destructor?","A destructor is a special method used in some programming languages to perform cleanup when an object is destroyed."
"What is method overloading?","Method overloading means defining multiple methods with the same name but different parameter lists, where the language supports it."
"What is method overriding?","Method overriding occurs when a subclass provides its own implementation of a method inherited from a parent class."
"What is a pointer?","A pointer is a variable that stores a memory address of another value or object."
"What are pointers?","Pointers are variables that store memory addresses and can be used to access data indirectly."
"What is a reference?","A reference is an alias or another name for an existing object or value, depending on the programming language."
"What is dynamic memory allocation?","Dynamic memory allocation is the process of obtaining memory during program execution rather than only at compile time."
"What is memory management?","Memory management is the process of allocating, using, tracking, and releasing memory during program execution."
"What is a memory leak?","A memory leak occurs when a program keeps allocated memory that is no longer needed and cannot use it for other purposes."
"What is an exception?","An exception is an event or condition that occurs during program execution and can disrupt normal program flow."
"What is exception handling?","Exception handling is a mechanism for detecting and managing exceptional conditions so a program can respond appropriately."
"What is a module?","A module is a separate unit of code containing related functions, classes, variables, or other reusable components."
"What is a library?","A library is a collection of reusable code that provides functions, classes, or other components for programs to use."
"What is an API?","An API, or Application Programming Interface, is a set of rules and interfaces that allows software components to communicate with each other."
"What is an IDE?","An IDE, or Integrated Development Environment, is software that provides tools for writing, running, debugging, and managing code."
"What is version control?","Version control is a system for tracking changes to files and managing different versions of a project."
"What is Git?","Git is a distributed version control system used to track changes in source code and collaborate on software projects."
"What is a repository?","A repository is a storage location that contains a project's files and, in a version control system, its tracked history."
"What is a bug?","A bug is an error or defect in software that causes it to behave incorrectly or unexpectedly."
"What is software testing?","Software testing is the process of evaluating software to find defects and verify that it behaves as expected."
"What is unit testing?","Unit testing tests small individual parts of a program, such as functions or methods, in isolation."
"What is an input?","An input is data supplied to a program for processing."
"What is an output?","An output is information produced by a program after processing input or performing operations."
"What is an expression?","An expression is a combination of values, variables, operators, and function calls that produces a value."
"What is a statement?","A statement is an instruction that performs an action or controls program execution."
"What is syntax?","Syntax is the set of rules that defines how statements and expressions must be written in a programming language."
"What is a comment in programming?","A comment is text written in source code for explanation or documentation that is ignored by the program's execution."
"What is modular programming?","Modular programming divides a program into smaller, independent modules that can be developed and maintained separately."
"What is structured programming?","Structured programming is a programming approach that organizes code using clear control structures such as sequence, selection, and iteration."
"What is procedural programming?","Procedural programming organizes a program around procedures or functions that operate on data."
"What is functional programming?","Functional programming is a programming paradigm that emphasizes functions, expressions, immutability, and minimizing side effects."
"What is an algorithm's efficiency?","Algorithm efficiency describes how effectively an algorithm uses computational resources such as time and memory."
"What is a data structure?","A data structure is a method of organizing and storing data so it can be accessed and processed efficiently."
"What are data structures?","Data structures are ways of organizing and storing data so that operations on the data can be performed efficiently."
"Why are data structures important?","Data structures are important because the choice of structure can affect how efficiently data is stored, accessed, searched, inserted, and deleted."
