question,answer,category
"What gas do humans need for respiration?","Humans need oxygen for aerobic cellular respiration.","science"
"What is the chemical formula of water?","The chemical formula of water is H₂O.","chemistry"
"What is the chemical symbol for gold?","The chemical symbol for gold is Au.","chemistry"
"What is the chemical symbol for silver?","The chemical symbol for silver is Ag.","chemistry"
"What is the chemical symbol for iron?","The chemical symbol for iron is Fe.","chemistry"
"What is the chemical symbol for sodium?","The chemical symbol for sodium is Na.","chemistry"
"What is the chemical symbol for potassium?","The chemical symbol for potassium is K.","chemistry"
"What is the chemical symbol for oxygen?","The chemical symbol for oxygen is O.","chemistry"
"What is the chemical symbol for hydrogen?","The chemical symbol for hydrogen is H.","chemistry"
"What is the chemical symbol for carbon?","The chemical symbol for carbon is C.","chemistry"
"What is the pH of pure water at room temperature?","Pure water is approximately neutral with a pH of 7 at around room temperature.","chemistry"
"What is the smallest unit of an element that retains its chemical properties?","An atom is the smallest unit of an element that retains its chemical properties.","science"
"What are the three common states of matter?","The three common states of matter are solid, liquid, and gas.","science"
"What is evaporation?","Evaporation is the process in which molecules escape from the surface of a liquid into the gas phase.","science"
"What is condensation?","Condensation is the process in which a gas changes into a liquid.","science"
"What is the boiling point of water at standard atmospheric pressure?","Water boils at 100 degrees Celsius at standard atmospheric pressure.","science"
"What is the freezing point of water?","Water freezes at 0 degrees Celsius at standard atmospheric pressure.","science"
"What is the largest organ of the human body?","The skin is the largest organ of the human body by surface area and weight.","human_body"
"How many bones are in an adult human body?","A typical adult human skeleton has 206 bones.","human_body"
"How many chambers does the human heart have?","The human heart has four chambers: two atria and two ventricles.","human_body"
"Which organ pumps blood through the body?","The heart pumps blood through the circulatory system.","human_body"
"Which organ is mainly responsible for filtering blood and producing urine?","The kidneys filter blood and produce urine.","human_body"
"Which organ is mainly responsible for breathing?","The lungs are the main organs of the respiratory system.","human_body"
"What is the largest internal organ of the human body?","The liver is the largest internal organ of the human body.","human_body"
"What is the brain?","The brain is the main organ of the central nervous system and controls and coordinates many body functions.","human_body"
"What is DNA?","DNA is the molecule that carries genetic information in living organisms.","biology"
"What does DNA stand for?","DNA stands for deoxyribonucleic acid.","biology"
"What is a cell?","A cell is the basic structural and functional unit of living organisms.","biology"
"What is a gene?","A gene is a segment of DNA that contains information involved in producing a functional biological product.","biology"
"What is the basic unit of life?","The cell is considered the basic unit of life.","biology"
"What is a mammal?","A mammal is a vertebrate animal characterized by features including hair or fur and milk production by mammary glands.","biology"
"What is the largest animal on Earth?","The blue whale is the largest known animal on Earth.","biology"
"What is the fastest land animal?","The cheetah is the fastest land animal over short distances.","biology"
"How many legs does a spider have?","A spider has eight legs.","biology"
"How many legs does an insect have?","An insect has six legs.","biology"
"What is the study of plants called?","Botany is the scientific study of plants.","biology"
"What is the study of animals called?","Zoology is the scientific study of animals.","biology"
"What is the study of microorganisms called?","Microbiology is the study of microorganisms.","biology"
"What is the study of heredity called?","Genetics is the study of genes, heredity, and variation in organisms.","biology"
"Who developed the theory of evolution by natural selection?","Charles Darwin developed the theory of evolution by natural selection.","science_history"
"Who is associated with the theory of relativity?","Albert Einstein is associated with the theories of special and general relativity.","science_history"
"Who formulated the laws of motion?","Isaac Newton formulated the three classical laws of motion.","science_history"
"Who proposed the heliocentric model of the Solar System?","Nicolaus Copernicus is associated with the heliocentric model that placed the Sun at the centre of the planetary system.","science_history"
"Who discovered penicillin?","Alexander Fleming discovered penicillin in 1928.","inventions"
"Who invented the telephone?","Alexander Graham Bell is widely credited with inventing the telephone.","inventions"
"Who invented the practical electric light bulb?","Thomas Edison is widely associated with developing a commercially practical incandescent electric light system.","inventions"
"Who invented the World Wide Web?","Tim Berners-Lee invented the World Wide Web.","technology"
"Who invented the printing press in Europe?","Johannes Gutenberg is widely credited with introducing the movable-type printing press to Europe.","inventions"
"Who invented the airplane?","The Wright brothers made the first controlled, sustained powered airplane flight in 1903.","inventions"
"What is the World Wide Web?","The World Wide Web is a system of interlinked resources accessed over the Internet.","technology"
"What does WWW stand for?","WWW stands for World Wide Web.","technology"
"What does CPU stand for?","CPU stands for Central Processing Unit.","computers"
"What does RAM stand for?","RAM stands for Random Access Memory.","computers"
"What does ROM stand for?","ROM stands for Read-Only Memory.","computers"
"What does USB stand for?","USB stands for Universal Serial Bus.","computers"
"What does URL stand for?","URL stands for Uniform Resource Locator.","internet"
"What does HTTP stand for?","HTTP stands for Hypertext Transfer Protocol.","internet"
"What does HTTPS stand for?","HTTPS stands for Hypertext Transfer Protocol Secure.","internet"
"What does IP stand for in networking?","IP stands for Internet Protocol.","networking"
"What is an IP address?","An IP address is a numerical address used to identify a device or network interface using Internet Protocol.","networking"
"What is an operating system?","An operating system is system software that manages computer hardware and provides services for applications.","computers"
"What is software?","Software is a collection of programs and related data that instruct a computer to perform tasks.","computers"
"What is hardware?","Hardware refers to the physical components of a computer system.","computers"
"What is artificial intelligence?","Artificial intelligence is the field of creating systems capable of performing tasks that normally require aspects of human intelligence.","technology"
"What is machine learning?","Machine learning is a branch of artificial intelligence in which systems learn patterns from data to make predictions or decisions.","technology"
"What is a database?","A database is an organized collection of data that can be stored, managed, and retrieved.","computers"
"What is cybersecurity?","Cybersecurity is the practice of protecting systems, networks, applications, and data from digital threats.","technology"
"What is the Internet?","The Internet is a global network of interconnected computer networks that communicate using standardized protocols.","internet"
"What is World War I?","World War I was a major global conflict that lasted from 1914 to 1918.","world_history"
"When did World War II end?","World War II ended in 1945.","world_history"
"When did World War II begin?","World War II began in 1939.","world_history"
"When did the French Revolution begin?","The French Revolution began in 1789.","world_history"
"Who was Napoleon Bonaparte?","Napoleon Bonaparte was a French military leader and emperor who played a major role in European history.","world_history"
"Who was Julius Caesar?","Julius Caesar was a Roman military leader and statesman who played a major role in the transformation of the Roman Republic.","world_history"
"Who was Alexander the Great?","Alexander the Great was a Macedonian king and military commander who created one of the largest empires of the ancient world.","world_history"
"What was the Roman Empire?","The Roman Empire was an ancient Mediterranean empire that became one of the most influential political and cultural powers in history.","world_history"
"What was the Industrial Revolution?","The Industrial Revolution was a period of major technological and economic transformation beginning in the 18th century.","world_history"
"When was the United Nations established?","The United Nations was established in 1945.","international_organizations"
"What does UN stand for?","UN stands for United Nations.","international_organizations"
"Where is the headquarters of the United Nations?","The headquarters of the United Nations is in New York City.","international_organizations"
"What does WHO stand for?","WHO stands for World Health Organization.","international_organizations"
"What does UNESCO stand for?","UNESCO stands for United Nations Educational, Scientific and Cultural Organization.","international_organizations"
"What does UNICEF stand for?","UNICEF stands for United Nations Children's Fund.","international_organizations"
"What does IMF stand for?","IMF stands for International Monetary Fund.","international_organizations"
"What does WTO stand for?","WTO stands for World Trade Organization.","international_organizations"
"What does NATO stand for?","NATO stands for North Atlantic Treaty Organization.","international_organizations"
"What is the World Bank?","The World Bank is an international development institution that provides financing and assistance to developing countries.","international_organizations"
"What is the International Monetary Fund?","The International Monetary Fund is an international organization that works to promote monetary cooperation and financial stability.","economics"
"What is GDP?","GDP, or gross domestic product, is the monetary value of final goods and services produced within a country during a specified period.","economics"
"What is inflation?","Inflation is a sustained increase in the general price level of goods and services over time.","economics"
"What is a currency?","A currency is a medium of exchange issued or recognized as money within an economy or monetary system.","economics"
"What is a bank?","A bank is a financial institution that provides services such as accepting deposits and making loans.","economics"
"What is supply and demand?","Supply and demand are economic concepts describing the relationship between the quantity producers offer and the quantity consumers want at different prices.","economics"
"What is a stock market?","A stock market is a marketplace where shares and other securities can be bought and sold.","economics"
"What are exports?","Exports are goods and services produced in one country and sold to buyers in another country.","economics"
"What are imports?","Imports are goods and services purchased from another country.","economics"
"How many players are on a football team on the field?","A football or soccer team has 11 players on the field during normal play.","sports"
"How many players are on a cricket team?","A cricket team has 11 players.","sports"
"How many players are on a basketball team on the court?","A basketball team has five players on the court at one time.","sports"
"How many rings are on the Olympic flag?","The Olympic flag has five interlocking rings.","sports"
"How often are the Summer Olympic Games normally held?","The Summer Olympic Games are normally held every four years.","sports"
"Where were the first modern Olympic Games held?","The first modern Olympic Games were held in Athens, Greece, in 1896.","sports"
"What is the FIFA World Cup?","The FIFA World Cup is an international football tournament organized by FIFA.","sports"
"What is Wimbledon?","Wimbledon is one of the four Grand Slam tennis tournaments.","sports"
"What is the Grand Slam in tennis?","The four Grand Slam tennis tournaments are the Australian Open, French Open, Wimbledon, and US Open.","sports"
"Who wrote Romeo and Juliet?","William Shakespeare wrote Romeo and Juliet.","literature"
"Who wrote Hamlet?","William Shakespeare wrote Hamlet.","literature"
"Who wrote Pride and Prejudice?","Jane Austen wrote Pride and Prejudice.","literature"
"Who wrote The Odyssey?","The Odyssey is traditionally attributed to the ancient Greek poet Homer.","literature"
"Who wrote Don Quixote?","Miguel de Cervantes wrote Don Quixote.","literature"
"Who wrote The Divine Comedy?","Dante Alighieri wrote The Divine Comedy.","literature"
"Who wrote Harry Potter?","J. K. Rowling wrote the Harry Potter series.","literature"
"What is a novel?","A novel is a long fictional prose narrative.","literature"
"What is poetry?","Poetry is literary expression that uses language, rhythm, imagery, and other techniques to create meaning and effect.","literature"
"What is UNESCO World Heritage?","UNESCO World Heritage refers to cultural or natural sites recognized as having outstanding universal value.","culture"
"What is the Mona Lisa?","The Mona Lisa is a famous painting by Leonardo da Vinci.","arts"
"Who painted the Mona Lisa?","Leonardo da Vinci painted the Mona Lisa.","arts"
"Who painted The Starry Night?","Vincent van Gogh painted The Starry Night.","arts"
"Who composed the Ninth Symphony?","Ludwig van Beethoven composed his Ninth Symphony.","music"
"Who composed The Four Seasons?","Antonio Vivaldi composed The Four Seasons.","music"
"What is a museum?","A museum is an institution that collects, preserves, studies, and displays objects and information for public education.","culture"
"What is an island?","An island is a piece of land completely surrounded by water.","geography"
"What is a peninsula?","A peninsula is a piece of land surrounded by water on most sides but connected to a larger landmass.","geography"
"What is a volcano?","A volcano is an opening or structure through which molten rock, gases, and other materials can reach Earth's surface.","earth_science"
"What is an earthquake?","An earthquake is the shaking of the Earth's surface caused by the sudden release of energy within the Earth.","earth_science"
"What is a tsunami?","A tsunami is a series of large sea waves usually caused by an underwater earthquake, volcanic eruption, landslide, or similar disturbance.","earth_science"
"What is the atmosphere?","The atmosphere is the layer of gases surrounding Earth.","earth_science"
"What is the ozone layer?","The ozone layer is a region of the stratosphere containing relatively high concentrations of ozone that absorbs much of the Sun's harmful ultraviolet radiation.","environment"
"What is climate change?","Climate change refers to long-term changes in Earth's climate patterns, including changes driven by human activities that increase greenhouse gas concentrations.","environment"
"What is global warming?","Global warming is the long-term rise in Earth's average surface temperature, primarily associated with increased greenhouse gas concentrations.","environment"
"What is renewable energy?","Renewable energy comes from sources that are naturally replenished, such as sunlight, wind, and flowing water.","environment"
"What is solar energy?","Solar energy is energy obtained from the Sun's radiation.","environment"
"What is wind energy?","Wind energy is energy generated by converting the kinetic energy of moving air into useful power.","environment"
"What is a fossil fuel?","Fossil fuels are energy resources such as coal, oil, and natural gas formed from ancient organic matter over geological time.","environment"
